<<<<<<< HEAD
"","FC","log2(FC)","raw.pval","-log10(p)"
"HMDB02123",0.33954,-1.5584,0.022404,1.6497
"HMDB00036",15.073,3.9139,0.023076,1.6368
"HMDB10395",4.1404,2.0498,0.023228,1.634
"HMDB12103",2.3337,1.2226,0.023729,1.6247
"HMDB07970",14.145,3.8222,0.024447,1.6118
"HMDB02820",0.47788,-1.0653,0.024955,1.6028
"HMDB00637",15.065,3.9131,0.025196,1.5987
"HMDB00247",4.7709,2.2543,0.025888,1.5869
"HMDB06460",2.0574,1.0408,0.026461,1.5774
"HMDB02172",2.6357,1.3982,0.026555,1.5759
"HMDB41876",2.6766,1.4204,0.026722,1.5731
"HMDB07871",14.433,3.8513,0.026971,1.5691
"HMDB02815",3.9336,1.9758,0.027099,1.567
"HMDB00043",4.7089,2.2354,0.028022,1.5525
"HMDB00641",3.4759,1.7974,0.028117,1.551
"HMDB00883",1.9461,0.96061,0.028283,1.5485
"HMDB00138",16.876,4.0769,0.028816,1.5404
"HMDB00158",2.4046,1.2658,0.028909,1.539
"HMDB10383",5.77,2.5286,0.02935,1.5324
"HMDB11503",1.5741,0.6545,0.031919,1.496
"HMDB00479",2.7877,1.4791,0.032231,1.4917
"HMDB12097",1.7909,0.84067,0.032672,1.4858
"HMDB00918",1.563,0.64429,0.033284,1.4778
"HMDB00177",6.0349,2.5933,0.03418,1.4662
"HMDB00792",0.56423,-0.82566,0.03512,1.4544
"HMDB00951",7.856,2.9738,0.036205,1.4412
"HMDB10379",3.3387,1.7393,0.036485,1.4379
"HMDB11520",3.9188,1.9704,0.037681,1.4239
"HMDB00518",2.499,1.3214,0.037989,1.4203
"HMDB02329",3.1357,1.6488,0.038376,1.4159
"HMDB00156",2.1387,1.0968,0.040128,1.3966
"HMDB11506",2.459,1.2981,0.040723,1.3902
"HMDB14611",5.3993,2.4328,0.041723,1.3796
"HMDB02364",0.48663,-1.0391,0.041983,1.3769
"HMDB00687",1.8501,0.88761,0.042279,1.3739
"HMDB02368",2.2069,1.142,0.042288,1.3738
"HMDB00658",2.2045,1.1404,0.043193,1.3646
"HMDB00239",2.5375,1.3434,0.043352,1.363
"HMDB15070",0.36569,-1.4513,0.043772,1.3588
"HMDB00172",2.3447,1.2294,0.045865,1.3385
"HMDB00929",2.8934,1.5328,0.047308,1.3251
"HMDB01186",2.4142,1.2716,0.047782,1.3207
"HMDB00691",2.4336,1.2831,0.049764,1.3031
"HMDB00711",1.3121,0.3919,0.049805,1.3027
"HMDB00122",1.7659,0.82041,0.051467,1.2885
"HMDB01257",2.183,1.1263,0.053339,1.273
"HMDB00026",2.1592,1.1105,0.054493,1.2637
"HMDB01991",0.62708,-0.67328,0.056453,1.2483
"HMDB03459",1.6768,0.74568,0.05985,1.2229
"HMDB04193",1.7,0.76551,0.060757,1.2164
"HMDB10391",3.8786,1.9556,0.062587,1.2035
"HMDB06219",1.4323,0.51837,0.063232,1.1991
"HMDB00094",3.3735,1.7543,0.063232,1.1991
"HMDB11504",1.7241,0.78585,0.066449,1.1775
"HMDB11212",17.582,4.136,0.066773,1.1754
"HMDB11243",8.3518,3.0621,0.067995,1.1675
"HMDB10397",3.0601,1.6136,0.068452,1.1646
"HMDB01348",1.5693,0.65015,0.068574,1.1638
"HMDB02121",0.30831,-1.6976,0.068828,1.1622
"HMDB01921",1.7564,0.81263,0.069369,1.1588
"HMDB00186",1.8708,0.90363,0.069566,1.1576
"HMDB01276",1.8275,0.86986,0.072396,1.1403
"HMDB30180",3.6921,1.8845,0.073758,1.1322
"HMDB02024",0.56159,-0.83241,0.073831,1.1318
"HMDB00098",1.3718,0.45605,0.075339,1.123
"HMDB00190",3.3162,1.7295,0.079482,1.0997
"HMDB06469",4.2286,2.0802,0.080894,1.0921
"HMDB01999",3.7176,1.8944,0.082536,1.0834
"HMDB05360",0.71721,-0.47953,0.082538,1.0833
"HMDB02322",2.3996,1.2628,0.084362,1.0739
"HMDB00875",2.8473,1.5096,0.08523,1.0694
"HMDB35665",2.1616,1.1121,0.087143,1.0598
"HMDB01149",3.7098,1.8914,0.088918,1.051
"HMDB00896",2.0729,1.0516,0.09158,1.0382
"HMDB10387",4.2084,2.0733,0.091709,1.0376
"HMDB13122",3.9448,1.98,0.093213,1.0305
"HMDB01432",5.0323,2.3312,0.093634,1.0286
"HMDB00252",2.394,1.2594,0.09449,1.0246
"HMDB00716",0.65757,-0.60478,0.10006,0.99976
"HMDB00161",1.5181,0.60227,0.10077,0.99665
"HMDB00631",2.6272,1.3935,0.10158,0.99318
"HMDB00123",2.6288,1.3944,0.10162,0.993
"HMDB01895",1.5271,0.61082,0.10193,0.99168
"HMDB07972",11.109,3.4737,0.10492,0.97916
"HMDB08038",18.215,4.187,0.10515,0.9782
"HMDB00722",4.114,2.0405,0.10583,0.9754
"HMDB02100",2.1988,1.1367,0.10598,0.97476
"HMDB04949",1.7744,0.82735,0.10638,0.97315
"HMDB00897",1.1892,0.24998,0.10794,0.9668
"HMDB00932",1.4843,0.56977,0.10797,0.96669
"HMDB00893",0.72932,-0.45537,0.1082,0.96577
"HMDB01390",0.21173,-2.2397,0.10845,0.96478
"HMDB07103",0.60784,-0.71824,0.10852,0.96449
"HMDB11241",12.025,3.588,0.10864,0.964
"HMDB12101",2.5982,1.3775,0.10926,0.96154
"HMDB00766",1.4063,0.49194,0.10929,0.96144
"HMDB05363",0.55943,-0.83798,0.10979,0.95943
"HMDB08105",3.6625,1.8728,0.11098,0.95475
"HMDB00126",2.4405,1.2872,0.11154,0.95257
"HMDB00725",5.5063,2.4611,0.11368,0.94433
"HMDB11310",6.893,2.7851,0.11385,0.94367
"HMDB02392",0.57362,-0.80183,0.11455,0.94102
"HMDB10386",3.2888,1.7175,0.11528,0.93823
"HMDB04956",1.6378,0.71178,0.11581,0.93625
"HMDB08138",5.8806,2.556,0.11591,0.93587
"HMDB11511",1.3074,0.38674,0.11666,0.93308
"HMDB07869",5.816,2.54,0.11712,0.93136
"HMDB08006",4.4342,2.1487,0.12068,0.91837
"HMDB00881",0.80296,-0.31661,0.12144,0.91563
"HMDB07248",0.57114,-0.80808,0.12146,0.91558
"HMDB15052",742.62,9.5365,0.12179,0.91441
"HMDB29723",34.68,5.1161,0.12247,0.91198
"HMDB00888",0.65271,-0.61549,0.12265,0.91132
"HMDB00779",1.5013,0.58618,0.12383,0.90719
"HMDB01008",3.1726,1.6657,0.1294,0.88807
"HMDB05359",2.1326,1.0926,0.13263,0.87736
"HMDB00086",5.9863,2.5817,0.13379,0.87359
"HMDB00670",1.6117,0.68854,0.1338,0.87353
"HMDB00148",1.7282,0.78927,0.13391,0.87319
"HMDB04620",1.4516,0.53763,0.13697,0.86336
"HMDB00517",1.8341,0.87504,0.13808,0.85986
"HMDB42093",1.7527,0.80961,0.14105,0.85064
"HMDB00784",0.46449,-1.1063,0.14276,0.8454
"HMDB07873",10.05,3.3291,0.14323,0.84397
"HMDB06729",1.7389,0.7982,0.1441,0.84133
"HMDB01488",0.80495,-0.31303,0.14421,0.84099
"HMDB00056",1.7009,0.76634,0.14636,0.83458
"HMDB02005",1.8253,0.86811,0.14638,0.83452
"HMDB03229",1.2579,0.33103,0.14927,0.82604
"HMDB00884",1.4395,0.52553,0.15049,0.82248
"HMDB29757",0.4935,-1.0189,0.151,0.82103
"HMDB01161",1.4438,0.52991,0.15286,0.8157
"HMDB08923",1.6349,0.70923,0.15426,0.81175
"HMDB00892",0.7815,-0.35569,0.15817,0.80088
"HMDB01847",0.6066,-0.72118,0.16137,0.79217
"HMDB00216",0.757,-0.40163,0.16149,0.79184
"HMDB11565",0.64357,-0.63583,0.16513,0.78218
"HMDB11252",6.7692,2.759,0.1655,0.78119
"HMDB00699",1.836,0.87653,0.16972,0.77027
"HMDB00506",1.0614,0.085992,0.17208,0.76428
"HMDB13622",1.8242,0.86723,0.17657,0.75308
"HMDB00904",1.4824,0.56794,0.18074,0.74296
"HMDB05377",0.47725,-1.0672,0.18228,0.73927
"HMDB02302",0.73477,-0.44463,0.18928,0.7229
"HMDB00448",0.49808,-1.0055,0.19284,0.7148
"HMDB05462",3.7289,1.8988,0.19435,0.71143
"HMDB00761",0.92082,-0.119,0.19695,0.70564
"HMDB00254",1.3676,0.45164,0.19821,0.70287
"HMDB07973",7.2726,2.8625,0.19843,0.7024
"HMDB00874",1.5585,0.64011,0.20187,0.69493
"HMDB02203",1.39,0.47508,0.20194,0.69478
"HMDB00034",0.733,-0.44812,0.20406,0.69023
"HMDB00391",3.4543,1.7884,0.20694,0.68415
"HMDB61710",2.2929,1.1972,0.209,0.67985
"HMDB00182",1.4915,0.5768,0.21007,0.67764
"HMDB42104",1.6458,0.71878,0.21432,0.66894
"HMDB00187",1.9815,0.98657,0.21547,0.66661
"HMDB08039",8.5532,3.0965,0.21727,0.663
"HMDB10419",1.6285,0.70357,0.21952,0.65853
"HMDB11210",4.5089,2.1728,0.2197,0.65817
"HMDB02231",1.365,0.44889,0.22151,0.6546
"HMDB00134",1.497,0.58208,0.22284,0.65201
"HMDB12252",1.7728,0.82604,0.22385,0.65004
"HMDB13331",2.6998,1.4329,0.22395,0.64985
"HMDB11621",0.13535,-2.8853,0.22673,0.64449
"HMDB00054",2.588,1.3718,0.22949,0.63924
"HMDB00355",1.8355,0.87621,0.23225,0.63405
"HMDB00220",1.3344,0.41618,0.23273,0.63315
"HMDB07219",0.73908,-0.43621,0.2379,0.6236
"HMDB04610",0.7041,-0.50615,0.24023,0.61938
"HMDB02250",2.0286,1.0205,0.24779,0.60592
"HMDB05436",4.1773,2.0626,0.25016,0.60178
"HMDB13339",1.5431,0.62586,0.25019,0.60173
"HMDB13325",2.3122,1.2093,0.25199,0.59862
"HMDB03282",2.6151,1.3869,0.25229,0.5981
"HMDB00062",1.5258,0.60956,0.25362,0.59581
"HMDB00214",1.7822,0.83365,0.2541,0.59499
"HMDB00767",2.1206,1.0845,0.25715,0.58982
"HMDB04704",1.335,0.41683,0.2638,0.57873
"HMDB00206",1.1611,0.21555,0.27219,0.56512
"HMDB00764",1.0075,0.010757,0.2729,0.564
"HMDB07983",1.577,0.6572,0.27727,0.5571
"HMDB00715",1.4531,0.53918,0.27953,0.55357
"HMDB00269",0.74267,-0.4292,0.2803,0.55238
"HMDB00017",0.92898,-0.10628,0.28108,0.55117
"HMDB29416",1.5622,0.64361,0.28448,0.54595
"HMDB05391",0.62441,-0.67943,0.28788,0.54078
"HMDB07991",2.4832,1.3122,0.28807,0.5405
"HMDB01886",0.64531,-0.63193,0.29009,0.53746
"HMDB59655",1.4279,0.51387,0.29401,0.53164
"HMDB00898",2.252,1.1712,0.29414,0.53145
"HMDB05384",0.71419,-0.48561,0.29449,0.53092
"HMDB03339",1.3422,0.42456,0.29606,0.52862
"HMDB02068",1.302,0.38072,0.29699,0.52726
"HMDB04072",1.4562,0.54216,0.30224,0.51965
"HMDB00696",1.44,0.52606,0.3036,0.51769
"HMDB01954",1.2122,0.27759,0.30751,0.51215
"HMDB00522",1.4572,0.54322,0.3125,0.50515
"HMDB02013",1.1972,0.25966,0.32096,0.49355
"HMDB00067",1.1697,0.22613,0.32309,0.49067
"HMDB04400",0.81633,-0.29278,0.32346,0.49018
"HMDB00626",0.96981,-0.044225,0.32567,0.48722
"HMDB00157",1.7783,0.83049,0.32907,0.48271
"HMDB00289",1.9554,0.96747,0.3321,0.47873
"HMDB13222",0.83069,-0.26762,0.33423,0.47595
"HMDB01138",0.81828,-0.28934,0.33694,0.47244
"HMDB05385",0.78496,-0.34931,0.33822,0.4708
"HMDB04952",1.2885,0.36566,0.33909,0.46969
"HMDB10368",0.85957,-0.21831,0.34088,0.46739
"HMDB00162",1.6774,0.74622,0.35059,0.4552
"HMDB00407",1.1662,0.22187,0.35731,0.44696
"HMDB00030",1.138,0.18654,0.36415,0.43872
"HMDB00210",0.82072,-0.28503,0.36574,0.43682
"HMDB00535",0.88391,-0.17804,0.36772,0.43449
"HMDB01388",1.1606,0.21493,0.37102,0.4306
"HMDB00020",1.5678,0.64873,0.37188,0.4296
"HMDB07100",0.66254,-0.59392,0.37384,0.42732
"HMDB11220",4.9606,2.3105,0.38519,0.41433
"HMDB03464",1.5095,0.5941,0.38572,0.41373
"HMDB00802",1.3222,0.40297,0.39014,0.40878
"HMDB00824",3.2693,1.709,0.39084,0.40801
"HMDB07102",0.74941,-0.41618,0.39283,0.4058
"HMDB00191",1.2301,0.29873,0.39866,0.3994
"HMDB00296",1.1959,0.25814,0.39942,0.39857
"HMDB00873",0.85243,-0.23035,0.39971,0.39826
"HMDB00827",1.6681,0.73823,0.40624,0.39122
"HMDB00168",1.2689,0.34363,0.40819,0.38914
"HMDB01232",3.5648,1.8338,0.41139,0.38574
"HMDB62781",1.8064,0.85311,0.41545,0.38148
"HMDB00957",0.95267,-0.069953,0.41619,0.38071
"HMDB00245",1.7312,0.79178,0.41767,0.37917
"HMDB00801",1.9273,0.94658,0.42021,0.37653
"HMDB02000",1.4373,0.5234,0.42115,0.37556
"HMDB00472",3.7258,1.8976,0.42585,0.37074
"HMDB11701",1.7416,0.8004,0.42702,0.36956
"HMDB04705",1.3111,0.39081,0.42776,0.3688
"HMDB06029",1.2964,0.37451,0.4284,0.36816
"HMDB00118",0.99964,-0.00051418,0.4285,0.36805
"HMDB00866",1.2774,0.35326,0.43023,0.3663
"HMDB10411",2.5313,1.3399,0.43094,0.36558
"HMDB05432",1.5222,0.60614,0.43166,0.36486
"HMDB00672",0.98697,-0.018923,0.43834,0.35819
"HMDB06725",1.58,0.65989,0.43835,0.35818
"HMDB04326",1.2583,0.33151,0.44056,0.356
"HMDB00557",0.23266,-2.1037,0.44312,0.35348
"HMDB06023",0.88526,-0.17583,0.44764,0.34907
"HMDB01046",0.29762,-1.7484,0.44829,0.34844
"HMDB00209",0.96413,-0.052695,0.45462,0.34235
"HMDB05362",1.1599,0.21395,0.45563,0.34139
"HMDB00679",1.0483,0.068116,0.45706,0.34003
"HMDB07128",1.0162,0.023211,0.45737,0.33973
"HMDB00510",1.4072,0.49281,0.46539,0.33218
"HMDB07218",0.85453,-0.2268,0.46767,0.33006
"HMDB00688",2.2578,1.1749,0.47084,0.32712
"HMDB07098",0.77145,-0.37436,0.47238,0.32571
"HMDB00133",1.1952,0.25727,0.47364,0.32455
"HMDB01169",2.504,1.3242,0.47774,0.3208
"HMDB05357",0.95593,-0.065018,0.48201,0.31694
"HMDB00895",0.7933,-0.33405,0.48606,0.31331
"HMDB01889",0.80335,-0.3159,0.4956,0.30487
"HMDB00786",1.2488,0.32055,0.49794,0.30283
"HMDB07132",0.93088,-0.10334,0.50259,0.29879
"HMDB03431",1.4103,0.496,0.50307,0.29838
"HMDB05398",0.65694,-0.60617,0.50393,0.29763
"HMDB01406",0.73824,-0.43783,0.50422,0.29738
"HMDB14420",1.2541,0.32661,0.50728,0.29475
"HMDB62548",1.488,0.57334,0.50866,0.29357
"HMDB10375",1.9895,0.99238,0.51351,0.28945
"HMDB00714",1.6624,0.73325,0.51488,0.28829
"HMDB10325",0.85048,-0.23364,0.51563,0.28766
"HMDB01185",1.269,0.34372,0.52173,0.28256
"HMDB08925",0.32728,-1.6114,0.52942,0.2762
"HMDB01924",0.97616,-0.034818,0.53003,0.2757
"HMDB07099",1.0921,0.12713,0.53215,0.27397
"HMDB00772",1.8103,0.85626,0.53457,0.272
"HMDB00925",2.5275,1.3377,0.53758,0.26956
"HMDB42063",1.9914,0.99382,0.54854,0.26079
"HMDB00101",1.612,0.68884,0.55259,0.25759
"HMDB13133",2.6102,1.3841,0.55733,0.25389
"HMDB00237",1.0122,0.017429,0.55888,0.25269
"HMDB00511",0.97858,-0.031234,0.5605,0.25142
"HMDB07011",0.96413,-0.052699,0.56854,0.24524
"HMDB00063",0.96204,-0.055829,0.57127,0.24316
"HMDB00212",0.95128,-0.072064,0.57168,0.24284
"HMDB00050",1.2984,0.37676,0.57174,0.2428
"HMDB13326",1.9282,0.94723,0.57506,0.24029
"HMDB02014",2.9714,1.5712,0.57528,0.24012
"HMDB05370",0.95463,-0.066984,0.57949,0.23695
"HMDB00226",1.0016,0.0022593,0.58786,0.23073
"HMDB05365",0.67921,-0.55807,0.5919,0.22775
"HMDB00039",1.0511,0.071865,0.59568,0.22499
"HMDB02271",1.1199,0.16339,0.59788,0.22339
"HMDB02259",0.85767,-0.2215,0.60465,0.2185
"HMDB00482",1.0171,0.024529,0.60718,0.21668
"HMDB05369",0.97019,-0.043662,0.60925,0.21521
"HMDB00529",1.1101,0.1507,0.60959,0.21496
"HMDB29377",0.75009,-0.41486,0.61819,0.20888
"HMDB00317",1.1667,0.22243,0.61826,0.20883
"HMDB05380",0.89441,-0.16099,0.62386,0.20491
"HMDB32055",1.8173,0.86182,0.63347,0.19827
"HMDB05376",1.1527,0.205,0.63984,0.19393
"HMDB07158",0.74304,-0.42849,0.65582,0.18321
"HMDB00092",1.2144,0.28022,0.6566,0.1827
"HMDB60038",0.72406,-0.46582,0.66453,0.17748
"HMDB05404",1.1139,0.15559,0.67036,0.17369
"HMDB08270",4.1641,2.058,0.67439,0.17109
"HMDB03070",1.1607,0.21503,0.68059,0.16712
"HMDB00259",0.47194,-1.0833,0.68162,0.16646
"HMDB00207",1.0224,0.032029,0.6822,0.16609
"HMDB00089",0.9365,-0.094641,0.68632,0.16347
"HMDB00139",1.0834,0.11552,0.68815,0.16232
"HMDB00733",1.0667,0.093184,0.69767,0.15635
"HMDB01859",0.70851,-0.49714,0.7035,0.15274
"HMDB01227",2.4451,1.2899,0.71676,0.14463
"HMDB05396",1.2397,0.30996,0.72084,0.14216
"HMDB03333",1.3773,0.46187,0.72151,0.14176
"HMDB13288",0.7785,-0.36123,0.72155,0.14173
"HMDB11131",0.89592,-0.15856,0.72815,0.13778
"HMDB00300",0.92126,-0.11831,0.7283,0.13769
"HMDB01547",2.0982,1.0691,0.7312,0.13597
"HMDB02320",1.5748,0.6552,0.74169,0.12978
"HMDB03349",1.352,0.43513,0.74174,0.12975
"HMDB07216",0.91959,-0.12094,0.74296,0.12903
"HMDB43058",1.1484,0.19957,0.75027,0.12478
"HMDB05476",1.7439,0.8023,0.7563,0.12131
"HMDB00673",1.0154,0.021991,0.76273,0.11763
"HMDB00014",1.0051,0.0073815,0.77043,0.11327
"HMDB00197",1.2248,0.29254,0.77073,0.1131
"HMDB00703",0.86883,-0.20286,0.78171,0.10695
"HMDB00872",0.99701,-0.0043155,0.78286,0.10632
"HMDB00638",0.61513,-0.70103,0.78514,0.10505
"HMDB00806",0.98601,-0.02033,0.79244,0.10103
"HMDB06736",0.85641,-0.22363,0.79474,0.099776
"HMDB01370",0.67682,-0.56315,0.79533,0.099453
"HMDB00826",1.1462,0.1969,0.80029,0.096751
"HMDB00152",1.1119,0.15302,0.8067,0.093287
"HMDB04827",1.1394,0.18823,0.80996,0.091534
"HMDB13253",1.1765,0.23455,0.81063,0.09118
"HMDB00019",1.0185,0.026475,0.81833,0.087072
"HMDB05395",1.3372,0.41922,0.82045,0.085948
"HMDB00623",0.9897,-0.014939,0.82826,0.081831
"HMDB00698",1.7305,0.79122,0.84399,0.073661
"HMDB05435",0.96203,-0.055849,0.84884,0.071173
"HMDB00132",0.87196,-0.19766,0.84946,0.070857
"HMDB05410",0.92059,-0.11936,0.86448,0.063244
"HMDB05367",1.1198,0.16318,0.86865,0.061153
"HMDB31106",1.593,0.67178,0.87459,0.058197
"HMDB05456",1.0747,0.10389,0.87877,0.056126
"HMDB00195",1.0206,0.02941,0.87893,0.056044
"HMDB00262",0.80624,-0.31073,0.88328,0.053904
"HMDB11582",1.0762,0.10599,0.88582,0.052655
"HMDB11526",0.74779,-0.41929,0.9014,0.045081
"HMDB05433",1.2155,0.28153,0.9035,0.044072
"HMDB02261",1.2751,0.35058,0.90436,0.043656
"HMDB00630",0.96697,-0.048457,0.90994,0.040989
"HMDB00812",1.644,0.71721,0.91029,0.040822
"HMDB42466",1.314,0.39395,0.91616,0.038028
"HMDB15371",1.0058,0.0083148,0.91913,0.036625
"HMDB00956",3.659,1.8715,0.91962,0.036393
"HMDB01563",0.86007,-0.21747,0.92317,0.034719
"HMDB00244",1.1372,0.18555,0.93063,0.031222
"HMDB08048",2.9776,1.5742,0.93162,0.03076
"HMDB59824",0.94808,-0.07692,0.93279,0.030218
"HMDB11718",1.0615,0.086117,0.93369,0.029798
"HMDB01518",1.0604,0.084556,0.93566,0.028881
"HMDB00651",1.8212,0.86492,0.93863,0.027508
"HMDB10412",1.3014,0.38007,0.93873,0.02746
"HMDB13716",1.0769,0.10682,0.94135,0.02625
"HMDB02212",0.9391,-0.090643,0.94584,0.024183
"HMDB05356",1.4468,0.5329,0.94626,0.023991
"HMDB05405",1.2673,0.34173,0.95096,0.02184
"HMDB13733",1.0489,0.068942,0.95345,0.020704
"HMDB00044",1.0173,0.02479,0.95558,0.019733
"HMDB00870",1.691,0.75784,0.95982,0.01781
"HMDB05403",1.5973,0.6756,0.9738,0.011531
"HMDB04030",1.4423,0.52835,0.97464,0.011154
"HMDB42226",0.92864,-0.10681,0.98312,0.0073942
"HMDB00292",1.0403,0.057012,0.98754,0.0054449
"HMDB11517",1.3837,0.46854,0.99808,0.00083507
>>>>>>> c0984ded7464f56fe9cfb455d3580043306550af
